"西式奇幻","中式奇幻"
"龙","仙界"
"精灵","修仙"
"矮人","丹药"
"魔法","道术"
"召唤","剑术"
"妖精","玄机"
"魔法森林","金丹"
"奇幻岛屿","灵兽"
"魔法学院","飞剑"
"魔法物品","仙石"
"奥秘","龙脉"
"骑士","神兽"
"女巫","灵丹"
"魔法书","灵根"
"古代遗迹","九阳真火"
"神秘洞穴","道果"
"魔法石","灵泉"
"古代神祇","灵石"
"神秘湖泊","仙剑"
"变形术","神秘洞府"
"魔法剑","修炼法术"
"魔法盾","灵气"
"魔法草药","易筋经"
"灵魂","长生不老"
"通灵术","灵珠"
"预言","仙山"
"诅咒","龙王"
"灵兽","仙人"
"永恒之城","妖精"
"魔法环","神农本草经"
"圣剑","天地灵气"
"海怪","飞云术"
"飞马","神州大陆"
"魔法棒","玄黄宝鉴"
"神秘之门","风水"
"神秘石碑","龙卷风"
"仙人掌","神魔"
"女巫的扫帚","八卦阵"
"魔法鞋","五行"
"魔法帽","镇魔塔"
"童话城堡","神魂"
"魔法手套","仙鹤"
"魔法箭","九天玄女"
"炼金术","龙凤呈祥"
"妖精尘","八仙过海"
"亡灵","神龙摆尾"
"魔法钥匙","仙桃"
"龙鳞","金箍棒"
"仙女","月光宝盒"
"魔法披风",""